record_id,bibliography,primary_source_url
ARED-GH-00061,https://clevelandart.org/art/1974.211,https://clevelandart.org/art/1974.211
ARED-GH-00062,https://clevelandart.org/art/1935.306,https://clevelandart.org/art/1935.306
ARED-GH-00063,https://clevelandart.org/art/1952.84,https://clevelandart.org/art/1952.84
ARED-GH-00064,https://clevelandart.org/art/1961.399,https://clevelandart.org/art/1961.399
ARED-GH-00065,https://clevelandart.org/art/1951.320,https://clevelandart.org/art/1951.320
ARED-GH-00066,https://clevelandart.org/art/1969.266,https://clevelandart.org/art/1969.266
ARED-GH-00067,https://clevelandart.org/art/1942.170,https://clevelandart.org/art/1942.170
ARED-GH-00068,https://clevelandart.org/art/1969.265,https://clevelandart.org/art/1969.265
ARED-GH-00069,https://clevelandart.org/art/1935.312,https://clevelandart.org/art/1935.312
ARED-GH-00070,https://clevelandart.org/art/1951.322,https://clevelandart.org/art/1951.322
ARED-GH-00071,https://clevelandart.org/art/1962.243,https://clevelandart.org/art/1962.243
ARED-GH-00072,https://clevelandart.org/art/1935.310,https://clevelandart.org/art/1935.310
ARED-GH-00073,https://clevelandart.org/art/1935.311,https://clevelandart.org/art/1935.311
ARED-GH-00074,https://clevelandart.org/art/1988.217.10,https://clevelandart.org/art/1988.217.10
ARED-GH-00075,https://clevelandart.org/art/1935.308,https://clevelandart.org/art/1935.308
ARED-GH-00076,https://clevelandart.org/art/1951.321,https://clevelandart.org/art/1951.321
ARED-GH-00077,https://clevelandart.org/art/1974.205,https://clevelandart.org/art/1974.205
ARED-GH-00078,https://clevelandart.org/art/1935.309,https://clevelandart.org/art/1935.309
ARED-GH-00079,https://clevelandart.org/art/2018.620,https://clevelandart.org/art/2018.620
ARED-GH-00080,https://clevelandart.org/art/2010.488,https://clevelandart.org/art/2010.488
ARED-GH-00081,https://clevelandart.org/art/2023.9,https://clevelandart.org/art/2023.9
ARED-GH-00082,https://clevelandart.org/art/2010.487,https://clevelandart.org/art/2010.487
ARED-GH-00083,https://clevelandart.org/art/2010.489,https://clevelandart.org/art/2010.489
ARED-GH-00084,https://clevelandart.org/art/2010.490,https://clevelandart.org/art/2010.490
ARED-GH-00085,https://clevelandart.org/art/2018.621,https://clevelandart.org/art/2018.621
ARED-GH-00086,https://clevelandart.org/art/2018.619,https://clevelandart.org/art/2018.619
ARED-GH-00087,https://clevelandart.org/art/2022.409,https://clevelandart.org/art/2022.409
ARED-GH-00088,https://clevelandart.org/art/2018.526,https://clevelandart.org/art/2018.526
