source_name,source_url,institution,records
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1967.152,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1975.157,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1974.211,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.306,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1952.84,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1961.399,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1951.320,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1969.266,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1942.170,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1969.265,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.312,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1951.322,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1962.243,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.310,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.311,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1988.217.10,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.308,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1951.321,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1974.205,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/1935.309,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2018.620,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2010.488,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2023.9,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2010.487,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2010.489,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2010.490,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2018.621,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2018.619,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2022.409,Cleveland Museum of Art,1
Cleveland Museum of Art Open Access,https://clevelandart.org/art/2018.526,Cleveland Museum of Art,1
