name,record_id,role,region,source_url
Theodosia Salome Okoh,ARED-GH-00002,artist; teacher; flag designer,Eastern Region; Greater Accra,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/
Nii Amon Kotei,ARED-GH-00004,graphic artist; painter; sculptor; surveyor; musician,Greater Accra,https://www.amonkotei.com/life-history
Kofi Antubam,ARED-GH-00005,artist; designer; educator; state artist,Central Region; Greater Accra,https://www.rem.routledge.com/articles/antubam-kofi-1922-1964
Kobina Badowah,ARED-GH-00006,Asafo flag maker; textile artist,Central Region,https://www.studiomuseum.org/artists/kobina-badowah
Baba Issaka,ARED-GH-00007,master Asafo flag maker; textile artist,Central Region,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/
Kweku Kakanu,ARED-GH-00008,Asafo flag maker,Central Region,https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370
Nana McCarthy,ARED-GH-00009,Asafo flag maker,Central Region,https://www.maharam.com/stories/banks_asafo-flags
