record_id,title,verification_status,collection_number,primary_source_url,uncertainties
ARED-GH-00052,Gold Weight,verified,Met 317907,https://www.metmuseum.org/art/collection/search/317907,maker unnamed in source
ARED-GH-00053,Kente Prestige Cloth,verified,Met 85576,https://www.metmuseum.org/art/collection/search/85576,maker unnamed in source
ARED-GH-00054,"Model Posing for Agip Calendar, Accra",verified,2021.239,https://clevelandart.org/art/2021.239,
ARED-GH-00055,Gold Weight (abrammuo): Geometric Form,verified,1962.244,https://clevelandart.org/art/1962.244,
ARED-GH-00056,Memorial head (nsodie),verified,1990.22,https://clevelandart.org/art/1990.22,
ARED-GH-00057,Female Figure (akua'ba),verified,1975.158,https://clevelandart.org/art/1975.158,
ARED-GH-00058,Disk Pendant (akrafokɔnmu),verified,1944.290,https://clevelandart.org/art/1944.290,
ARED-GH-00059,Figure (baàthíl),verified,1967.152,https://clevelandart.org/art/1967.152,
ARED-GH-00060,Head,verified,1975.157,https://clevelandart.org/art/1975.157,
ARED-GH-00061,Female Figure (akua'ba),verified,1974.211,https://clevelandart.org/art/1974.211,
ARED-GH-00062,Gold Weight (abrammuo):  Antelope,verified,1935.306,https://clevelandart.org/art/1935.306,
ARED-GH-00063,Disk Pendant (akrafokɔnmu),verified,1952.84,https://clevelandart.org/art/1952.84,
ARED-GH-00064,Gold Weight (abrammuo): Fish,verified,1961.399,https://clevelandart.org/art/1961.399,
ARED-GH-00065,Ring: Coiled Snake on a Ball,verified,1951.320,https://clevelandart.org/art/1951.320,
ARED-GH-00066,Gold Weight (abrammuo): Drum with Jaws of Defeated Enemies,verified,1969.266,https://clevelandart.org/art/1969.266,
ARED-GH-00067,Pendant: Cross Form with Bird,verified,1942.170,https://clevelandart.org/art/1942.170,
ARED-GH-00068,Gold Weight (abrammuo): Geometric,verified,1969.265,https://clevelandart.org/art/1969.265,
ARED-GH-00069,Knife-sheath tip (sika boha),verified,1935.312,https://clevelandart.org/art/1935.312,
ARED-GH-00070,Pendant: Rectangular Pendant,verified,1951.322,https://clevelandart.org/art/1951.322,
ARED-GH-00071,Gold Weight (abrammuo): figure,verified,1962.243,https://clevelandart.org/art/1962.243,
ARED-GH-00072,Disk Pendant (akrafokɔnmu),verified,1935.310,https://clevelandart.org/art/1935.310,
ARED-GH-00073,Knife Handle Cover,verified,1935.311,https://clevelandart.org/art/1935.311,
ARED-GH-00074,"Oil Refinery, Tema, Ghana",verified,1988.217.10,https://clevelandart.org/art/1988.217.10,
ARED-GH-00075,Knife-sheath tip (sika boha),verified,1935.308,https://clevelandart.org/art/1935.308,
ARED-GH-00076,Ring: Cannon Flanked by Two Birds,verified,1951.321,https://clevelandart.org/art/1951.321,
ARED-GH-00077,Figure ,verified,1974.205,https://clevelandart.org/art/1974.205,
ARED-GH-00078,Knife-sheath tip (sika boha),verified,1935.309,https://clevelandart.org/art/1935.309,
